model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
Zeek,0.215,0.59,0.74,0.805,0.855,0.875,0.885,0.91,0.925,0.94,0.96,0.35712500000000014
sim,0.33,0.65,0.765,0.825,0.865,0.905,0.92,0.93,0.935,0.94,0.94,0.4580019841269843
